"","region","key","value"
"1","10001","2018",810
"2","10001","2019",568
"3","10001","2020",574
"4","10001","2021",1015
"5","10002","2018",4449
"6","10002","2019",3785
"7","10002","2020",2146
"8","10002","2021",3105
"9","10003","2018",2702
"10","10003","2019",2358
"11","10003","2020",1398
"12","10003","2021",2753
"13","10004","2018",12
"14","10004","2019",26
"15","10004","2020",4
"16","10004","2021",31
"17","10005","2018",35
"18","10005","2019",19
"19","10005","2020",8
"20","10005","2021",47
"21","10006","2018",61
"22","10006","2019",30
"23","10006","2020",31
"24","10006","2021",68
"25","10007","2018",88
"26","10007","2019",100
"27","10007","2020",18
"28","10007","2021",169
"29","10009","2018",3539
"30","10009","2019",3333
"31","10009","2020",2077
"32","10009","2021",2898
"33","10010","2018",627
"34","10010","2019",573
"35","10010","2020",657
"36","10010","2021",616
"37","10011","2018",2541
"38","10011","2019",2397
"39","10011","2020",1233
"40","10011","2021",2240
"41","10012","2018",1851
"42","10012","2019",1732
"43","10012","2020",823
"44","10012","2021",1406
"45","10013","2018",1459
"46","10013","2019",1395
"47","10013","2020",737
"48","10013","2021",1367
"49","10014","2018",1943
"50","10014","2019",1408
"51","10014","2020",985
"52","10014","2021",1750
"53","10016","2018",1737
"54","10016","2019",1273
"55","10016","2020",718
"56","10016","2021",1481
"57","10017","2018",362
"58","10017","2019",301
"59","10017","2020",120
"60","10017","2021",321
"61","10018","2018",530
"62","10018","2019",499
"63","10018","2020",259
"64","10018","2021",457
"65","10019","2018",2417
"66","10019","2019",2069
"67","10019","2020",1078
"68","10019","2021",1851
"69","10021","2018",1150
"70","10021","2019",942
"71","10021","2020",410
"72","10021","2021",926
"73","10022","2018",1199
"74","10022","2019",1120
"75","10022","2020",391
"76","10022","2021",1065
"77","10023","2018",1941
"78","10023","2019",1584
"79","10023","2020",640
"80","10023","2021",1405
"81","10024","2018",2775
"82","10024","2019",2815
"83","10024","2020",1688
"84","10024","2021",2809
"85","10025","2018",5736
"86","10025","2019",7312
"87","10025","2020",3650
"88","10025","2021",4962
"89","10026","2018",4421
"90","10026","2019",5112
"91","10026","2020",3456
"92","10026","2021",4602
"93","10027","2018",7910
"94","10027","2019",7482
"95","10027","2020",4739
"96","10027","2021",7117
"97","10028","2018",1795
"98","10028","2019",1283
"99","10028","2020",795
"100","10028","2021",1501
"101","10029","2018",7634
"102","10029","2019",7153
"103","10029","2020",4073
"104","10029","2021",5625
"105","10030","2018",5101
"106","10030","2019",4516
"107","10030","2020",3613
"108","10030","2021",5311
"109","10031","2018",15470
"110","10031","2019",14651
"111","10031","2020",9009
"112","10031","2021",11377
"113","10032","2018",10551
"114","10032","2019",14248
"115","10032","2020",9284
"116","10032","2021",10630
"117","10033","2018",10826
"118","10033","2019",10378
"119","10033","2020",6920
"120","10033","2021",7452
"121","10034","2018",7911
"122","10034","2019",9332
"123","10034","2020",5525
"124","10034","2021",6032
"125","10035","2018",5497
"126","10035","2019",5525
"127","10035","2020",3331
"128","10035","2021",4850
"129","10036","2018",2364
"130","10036","2019",1908
"131","10036","2020",963
"132","10036","2021",1526
"133","10037","2018",2352
"134","10037","2019",2679
"135","10037","2020",1119
"136","10037","2021",1554
"137","10038","2018",382
"138","10038","2019",172
"139","10038","2020",84
"140","10038","2021",274
"141","10039","2018",3696
"142","10039","2019",3703
"143","10039","2020",2890
"144","10039","2021",4530
"145","10040","2018",5759
"146","10040","2019",5133
"147","10040","2020",4196
"148","10040","2021",5566
"149","10044","2018",96
"150","10044","2019",51
"151","10044","2020",31
"152","10044","2021",69
"153","10065","2018",976
"154","10065","2019",843
"155","10065","2020",425
"156","10065","2021",916
"157","10069","2018",2
"158","10069","2019",13
"159","10069","2020",1
"160","10069","2021",18
"161","10075","2018",937
"162","10075","2019",998
"163","10075","2020",491
"164","10075","2021",944
"165","10103","2018",1
"166","10112","2019",2
"167","10128","2018",1814
"168","10128","2019",1673
"169","10128","2020",765
"170","10128","2021",1868
"171","10129","2018",10
