"","region","key","value"
"93","10026","2020",2454
"94","10026","2021",2027
"95","10027","2018",4150
"96","10027","2019",3908
"97","10027","2020",3693
"98","10027","2021",3501
"99","10028","2018",1347
"100","10028","2019",1076
"101","10028","2020",876
"102","10028","2021",671
"103","10029","2018",4093
"104","10029","2019",4023
"105","10029","2020",3248
"106","10029","2021",2393
"107","10030","2018",3091
"108","10030","2019",3141
"109","10030","2020",2622
"110","10030","2021",2228
"111","10031","2018",8389
"112","10031","2019",7722
"113","10031","2020",5364
"114","10031","2021",4585
"115","10032","2018",5711
"116","10032","2019",6201
"117","10032","2020",5351
"118","10032","2021",4931
"119","10033","2018",6076
"120","10033","2019",6190
"121","10033","2020",5214
"122","10033","2021",3873
"123","10034","2018",4921
"124","10034","2019",4767
"125","10034","2020",4353
"126","10034","2021",3280
"127","10035","2018",2418
"128","10035","2019",2462
"129","10035","2020",2300
"130","10035","2021",1670
"131","10036","2018",1274
"132","10036","2019",1310
"133","10036","2020",829
"134","10036","2021",736
"135","10037","2018",2101
"136","10037","2019",1809
"137","10037","2020",1219
"138","10037","2021",936
"139","10038","2018",244
"140","10038","2019",152
"141","10038","2020",132
"142","10038","2021",175
"143","10039","2018",2360
"144","10039","2019",2580
"145","10039","2020",2423
"146","10039","2021",2225
"147","10040","2018",4475
"148","10040","2019",3726
"149","10040","2020",3498
"150","10040","2021",2918
"151","10044","2018",101
"152","10044","2019",63
"153","10044","2020",66
"154","10044","2021",64
"155","10048","2019",1
"156","10065","2018",785
"157","10065","2019",560
"158","10065","2020",547
"159","10065","2021",354
"160","10069","2018",5
"161","10069","2019",24
"162","10069","2020",10
"163","10069","2021",18
"164","10075","2018",465
"165","10075","2019",683
"166","10075","2020",713
"167","10075","2021",358
"168","10112","2018",2
"169","10112","2019",2
"170","10119","2021",1
"171","10121","2020",1
"172","10121","2021",1
"173","10128","2018",1334
"174","10128","2019",1024
"175","10128","2020",730
"176","10128","2021",780
"177","10129","2018",7
"178","10129","2019",3
"179","10129","2020",7
"180","10129","2021",11
"181","10280","2018",21
"182","10280","2019",13
"183","10280","2020",19
"184","10280","2021",21
"185","10282","2018",9
"186","10282","2019",8
"187","10282","2020",4
"188","10282","2021",18
"189","10301","2018",1261
"190","10301","2019",1398
"191","10301","2020",1048
"192","10301","2021",885
"193","10302","2018",389
"194","10302","2019",342
"195","10302","2020",264
"196","10302","2021",327
"197","10303","2018",569
"198","10303","2019",482
"199","10303","2020",495
"200","10303","2021",531
"201","10304","2018",1134
"202","10304","2019",1272
"203","10304","2020",1252
"204","10304","2021",936
"205","10305","2018",349
"206","10305","2019",343
"207","10305","2020",282
"208","10305","2021",210
"209","10306","2018",363
"210","10306","2019",306
"211","10306","2020",262
"212","10306","2021",271
"213","10307","2018",44
"214","10307","2019",32
"215","10307","2020",53
"216","10307","2021",24
"217","10308","2018",86
"218","10308","2019",60
"219","10308","2020",34
"220","10308","2021",39
"221","10309","2018",101
"222","10309","2019",63
"223","10309","2020",58
"224","10309","2021",65
"225","10310","2018",419
"226","10310","2019",296
"227","10310","2020",272
"228","10310","2021",248
"229","10312","2018",109
"230","10312","2019",109
"231","10312","2020",146
"232","10312","2021",124
"233","10314","2018",575
"234","10314","2019",477
"235","10314","2020",477
"236","10314","2021",332
"237","10364","2021",2
"238","10435","2018",3
"239","10435","2019",2
"240","10451","2018",4682
"241","10451","2019",4451
"242","10451","2020",3508
"243","10451","2021",3253
"244","10452","2018",10056
"245","10452","2019",9257
"246","10452","2020",8075
"247","10452","2021",7166
"248","10453","2018",9569
"249","10453","2019",9992
"250","10453","2020",7695
"251","10453","2021",5660
"252","10454","2018",2358
"253","10454","2019",2469
"254","10454","2020",2213
"255","10454","2021",1720
"256","10455","2018",3290
"257","10455","2019",3379
"258","10455","2020",3128
"259","10455","2021",2141
"260","10456","2018",8009
"261","10456","2019",8045
"262","10456","2020",6757
"263","10456","2021",5346
"264","10457","2018",9114
"265","10457","2019",9715
"266","10457","2020",10447
"267","10457","2021",8460
"268","10458","2018",10342
"269","10458","2019",10114
"270","10458","2020",8078
"271","10458","2021",6979
"272","10459","2018",4619
"273","10459","2019",4345
"274","10459","2020",3923
"275","10459","2021",3079
"276","10460","2018",6515
"277","10460","2019",6294
"278","10460","2020",4985
"279","10460","2021",3774
"280","10461","2018",2557
"281","10461","2019",2816
"282","10461","2020",2176
"283","10461","2021",1579
"284","10462","2018",5959
"285","10462","2019",5444
"286","10462","2020",6265
"287","10462","2021",5146
"288","10463","2018",4815
"289","10463","2019",4656
"290","10463","2020",3722
"291","10463","2021",3272
"292","10464","2018",85
"293","10464","2019",76
"294","10464","2020",95
"295","10464","2021",73
"296","10465","2018",472
"297","10465","2019",393
"298","10465","2020",406
"299","10465","2021",509
"300","10466","2018",4121
"301","10466","2019",4115
"302","10466","2020",3486
"303","10466","2021",2649
"304","10467","2018",10384
"305","10467","2019",10508
"306","10467","2020",8707
"307","10467","2021",6627
"308","10468","2018",8803
"309","10468","2019",9555
"310","10468","2020",7898
"311","10468","2021",7019
"312","10469","2018",1929
"313","10469","2019",2108
"314","10469","2020",1864
"315","10469","2021",1507
"316","10470","2018",1250
"317","10470","2019",1172
"318","10470","2020",915
"319","10470","2021",827
"320","10471","2018",791
"321","10471","2019",721
"322","10471","2020",457
"323","10471","2021",388
"324","10472","2018",5103
"325","10472","2019",4884
"326","10472","2020",4339
"327","10472","2021",3522
"328","10473","2018",1642
"329","10473","2019",2200
"330","10473","2020",2344
"331","10473","2021",1465
"332","10474","2018",1160
"333","10474","2019",1079
"334","10474","2020",1108
"335","10474","2021",881
"336","10475","2018",412
"337","10475","2019",445
"338","10475","2020",424
"339","10475","2021",480
"340","11001","2018",9
"341","11001","2019",14
"342","11001","2020",7
"343","11001","2021",13
"344","11004","2018",50
"345","11004","2019",42
"346","11004","2020",29
"347","11004","2021",35
"348","11005","2018",6
"349","11005","2019",3
"350","11005","2020",1
"351","11005","2021",1
"352","11040","2018",14
"353","11040","2019",16
"354","11040","2020",4
"355","11040","2021",7
"356","11101","2018",761
"357","11101","2019",751
"358","11101","2020",577
"359","11101","2021",404
"360","11102","2018",1037
"361","11102","2019",932
"362","11102","2020",763
"363","11102","2021",552
"364","11103","2018",1071
"365","11103","2019",1062
"366","11103","2020",836
"367","11103","2021",555
"368","11104","2018",1172
"369","11104","2019",1198
"370","11104","2020",876
"371","11104","2021",713
"372","11105","2018",910
"373","11105","2019",865
"374","11105","2020",667
"375","11105","2021",718
"376","11106","2018",1093
"377","11106","2019",929
"378","11106","2020",934
"379","11106","2021",693
"380","11109","2018",6
"381","11109","2019",9
"382","11109","2020",3
"383","11109","2021",3
"384","11201","2018",987
"385","11201","2019",829
"386","11201","2020",659
"387","11201","2021",459
"388","11203","2018",5552
"389","11203","2019",4888
"390","11203","2020",3953
"391","11203","2021",2822
"392","11204","2018",1975
"393","11204","2019",1784
"394","11204","2020",1332
"395","11204","2021",1285
"396","11205","2018",1140
"397","11205","2019",936
"398","11205","2020",855
"399","11205","2021",794
"400","11206","2018",3856
"401","11206","2019",3176
"402","11206","2020",1901
"403","11206","2021",1603
"404","11207","2018",5225
"405","11207","2019",4656
"406","11207","2020",3969
"407","11207","2021",2982
"408","11208","2018",4457
"409","11208","2019",4294
"410","11208","2020",3223
"411","11208","2021",2906
"412","11209","2018",3329
"413","11209","2019",3282
"414","11209","2020",3085
"415","11209","2021",2398
"416","11210","2018",3041
"417","11210","2019",2993
"418","11210","2020",2353
"419","11210","2021",2604
"420","11211","2018",2100
"421","11211","2019",2135
"422","11211","2020",1641
"423","11211","2021",1407
"424","11212","2018",6188
"425","11212","2019",5625
"426","11212","2020",4381
"427","11212","2021",3262
"428","11213","2018",6868
"429","11213","2019",6147
"430","11213","2020",4684
"431","11213","2021",4446
"432","11214","2018",2942
"433","11214","2019",2874
"434","11214","2020",2356
"435","11214","2021",1259
"436","11215","2018",2244
"437","11215","2019",1273
"438","11215","2020",1099
"439","11215","2021",985
"440","11216","2018",4710
"441","11216","2019",4081
"442","11216","2020",3170
"443","11216","2021",2803
"444","11217","2018",938
"445","11217","2019",845
"446","11217","2020",692
"447","11217","2021",614
"448","11218","2018",2691
"449","11218","2019",2759
"450","11218","2020",2100
"451","11218","2021",1565
"452","11219","2018",1650
"453","11219","2019",1755
"454","11219","2020",1331
"455","11219","2021",900
"456","11220","2018",3029
"457","11220","2019",2816
"458","11220","2020",2302
"459","11220","2021",2239
"460","11221","2018",4847
"461","11221","2019",4286
"462","11221","2020",3533
"463","11221","2021",3045
"464","11222","2018",1120
"465","11222","2019",1196
"466","11222","2020",834
"467","11222","2021",711
"468","11223","2018",2014
"469","11223","2019",1811
"470","11223","2020",1260
"471","11223","2021",1052
"472","11224","2018",967
"473","11224","2019",889
"474","11224","2020",736
"475","11224","2021",705
"476","11225","2018",8210
"477","11225","2019",7010
"478","11225","2020",5837
"479","11225","2021",4335
"480","11226","2018",13433
"481","11226","2019",13165
"482","11226","2020",9961
"483","11226","2021",8551
"484","11228","2018",555
"485","11228","2019",533
"486","11228","2020",338
"487","11228","2021",257
"488","11229","2018",2609
"489","11229","2019",2581
"490","11229","2020",1727
"491","11229","2021",1188
"492","11230","2018",4003
"493","11230","2019",4139
"494","11230","2020",3473
"495","11230","2021",2599
"496","11231","2018",579
"497","11231","2019",542
"498","11231","2020",811
"499","11231","2021",466
"500","11232","2018",972
"501","11232","2019",974
"502","11232","2020",1059
"503","11232","2021",585
"504","11233","2018",6123
"505","11233","2019",5443
"506","11233","2020",3780
"507","11233","2021",3186
"508","11234","2018",1105
"509","11234","2019",1028
"510","11234","2020",899
"511","11234","2021",770
"512","11235","2018",3674
"513","11235","2019",3373
"514","11235","2020",2130
"515","11235","2021",1503
"516","11236","2018",2104
"517","11236","2019",1827
"518","11236","2020",1601
"519","11236","2021",1127
"520","11237","2018",3284
"521","11237","2019",2900
"522","11237","2020",2237
"523","11237","2021",1813
"524","11238","2018",2984
"525","11238","2019",2692
"526","11238","2020",2444
"527","11238","2021",1911
"528","11239","2018",437
"529","11239","2019",312
"530","11239","2020",354
"531","11239","2021",427
"532","11241","2018",1
"533","11241","2020",1
"534","11249","2018",1549
"535","11249","2019",1001
"536","11249","2020",653
"537","11249","2021",485
"538","11354","2018",1041
"539","11354","2019",1242
"540","11354","2020",1047
"541","11354","2021",697
"542","11355","2018",2121
"543","11355","2019",2005
"544","11355","2020",2013
"545","11355","2021",1233
"546","11356","2018",209
"547","11356","2019",194
"548","11356","2020",203
"549","11356","2021",222
"550","11357","2018",140
"551","11357","2019",111
"552","11357","2020",99
"553","11357","2021",87
"554","11358","2018",351
"555","11358","2019",349
"556","11358","2020",367
"557","11358","2021",420
"558","11360","2018",82
"559","11360","2019",62
"560","11360","2020",57
"561","11360","2021",45
"562","11361","2018",170
"563","11361","2019",183
"564","11361","2020",186
"565","11361","2021",219
"566","11362","2018",47
"567","11362","2019",52
"568","11362","2020",30
"569","11362","2021",18
"570","11363","2018",56
"571","11363","2019",70
"572","11363","2020",41
"573","11363","2021",35
"574","11364","2018",284
"575","11364","2019",221
"576","11364","2020",227
"577","11364","2021",236
"578","11365","2018",303
"579","11365","2019",268
"580","11365","2020",243
"581","11365","2021",213
"582","11366","2018",165
"583","11366","2019",111
"584","11366","2020",161
"585","11366","2021",72
"586","11367","2018",646
"587","11367","2019",597
"588","11367","2020",659
"589","11367","2021",507
"590","11368","2018",2164
"591","11368","2019",1947
"592","11368","2020",1653
"593","11368","2021",1495
"594","11369","2018",433
"595","11369","2019",482
"596","11369","2020",377
"597","11369","2021",414
"598","11370","2018",194
"599","11370","2019",204
"600","11370","2020",187
"601","11370","2021",108
"602","11372","2018",2523
"603","11372","2019",1998
"604","11372","2020",1533
"605","11372","2021",1381
"606","11373","2018",4572
"607","11373","2019",5238
"608","11373","2020",3114
"609","11373","2021",1367
"610","11374","2018",1146
"611","11374","2019",1042
"612","11374","2020",880
"613","11374","2021",693
"614","11375","2018",1642
"615","11375","2019",1450
"616","11375","2020",1312
"617","11375","2021",1326
"618","11377","2018",2113
"619","11377","2019",2517
"620","11377","2020",1723
"621","11377","2021",1362
"622","11378","2018",298
"623","11378","2019",263
"624","11378","2020",246
"625","11378","2021",180
"626","11379","2018",239
"627","11379","2019",214
"628","11379","2020",222
"629","11379","2021",333
"630","11385","2018",3072
"631","11385","2019",2867
"632","11385","2020",2561
"633","11385","2021",1890
"634","11411","2018",145
"635","11411","2019",144
"636","11411","2020",112
"637","11411","2021",73
"638","11412","2018",551
"639","11412","2019",537
"640","11412","2020",499
"641","11412","2021",401
"642","11413","2018",599
"643","11413","2019",451
"644","11413","2020",387
"645","11413","2021",321
"646","11414","2018",159
"647","11414","2019",162
"648","11414","2020",198
"649","11414","2021",145
"650","11415","2018",987
"651","11415","2019",1006
"652","11415","2020",649
"653","11415","2021",435
"654","11416","2018",312
"655","11416","2019",494
"656","11416","2020",355
"657","11416","2021",306
"658","11417","2018",470
"659","11417","2019",408
"660","11417","2020",363
"661","11417","2021",206
"662","11418","2018",790
"663","11418","2019",864
"664","11418","2020",733
"665","11418","2021",406
"666","11419","2018",751
"667","11419","2019",746
"668","11419","2020",625
"669","11419","2021",594
"670","11420","2018",702
"671","11420","2019",575
"672","11420","2020",361
"673","11420","2021",424
"674","11421","2018",588
"675","11421","2019",641
"676","11421","2020",628
"677","11421","2021",371
"678","11422","2018",440
"679","11422","2019",529
"680","11422","2020",254
"681","11422","2021",185
"682","11423","2018",583
"683","11423","2019",776
"684","11423","2020",545
"685","11423","2021",478
"686","11426","2018",60
"687","11426","2019",131
"688","11426","2020",47
"689","11426","2021",75
"690","11427","2018",399
"691","11427","2019",409
"692","11427","2020",452
"693","11427","2021",280
"694","11428","2018",222
"695","11428","2019",241
"696","11428","2020",168
"697","11428","2021",129
"698","11429","2018",289
"699","11429","2019",221
"700","11429","2020",177
"701","11429","2021",161
"702","11430","2019",2
"703","11430","2020",6
"704","11430","2021",2
"705","11432","2018",1722
"706","11432","2019",2163
"707","11432","2020",1723
"708","11432","2021",1383
"709","11433","2018",830
"710","11433","2019",790
"711","11433","2020",634
"712","11433","2021",616
"713","11434","2018",1122
"714","11434","2019",936
"715","11434","2020",978
"716","11434","2021",704
"717","11435","2018",1350
"718","11435","2019",1218
"719","11435","2020",974
"720","11435","2021",968
"721","11436","2018",308
"722","11436","2019",215
"723","11436","2020",277
"724","11436","2021",213
"725","11452","2018",6
"726","11452","2019",3
"727","11452","2020",14
"728","11452","2021",14
"729","11691","2018",2541
"730","11691","2019",2706
"731","11691","2020",2192
"732","11691","2021",1730
"733","11692","2018",684
"734","11692","2019",800
"735","11692","2020",718
"736","11692","2021",566
"737","11693","2018",375
"738","11693","2019",196
"739","11693","2020",143
"740","11693","2021",179
"741","11694","2018",615
"742","11694","2019",744
"743","11694","2020",507
"744","11694","2021",586
"745","11697","2018",6
"746","11697","2019",19
"747","11697","2020",1
