"","region","key","value"
"1","10001","2018",630
"2","10001","2019",555
"3","10001","2020",522
"4","10001","2021",463
"5","10002","2018",2988
"6","10002","2019",2676
"7","10002","2020",1826
"8","10002","2021",1371
"9","10003","2018",1579
"10","10003","2019",1764
"11","10003","2020",1406
"12","10003","2021",1334
"13","10004","2018",15
"14","10004","2019",35
"15","10004","2020",32
"16","10004","2021",13
"17","10005","2018",26
"18","10005","2019",47
"19","10005","2020",19
"20","10005","2021",16
"21","10006","2018",92
"22","10006","2019",35
"23","10006","2020",24
"24","10006","2021",21
"25","10007","2018",49
"26","10007","2019",81
"27","10007","2020",34
"28","10007","2021",35
"29","10009","2018",2266
"30","10009","2019",2284
"31","10009","2020",1841
"32","10009","2021",1561
"33","10010","2018",714
"34","10010","2019",727
"35","10010","2020",778
"36","10010","2021",487
"37","10011","2018",1531
"38","10011","2019",1523
"39","10011","2020",1034
"40","10011","2021",764
"41","10012","2018",1044
"42","10012","2019",1028
"43","10012","2020",579
"44","10012","2021",504
"45","10013","2018",762
"46","10013","2019",783
"47","10013","2020",614
"48","10013","2021",387
"49","10014","2018",1374
"50","10014","2019",1078
"51","10014","2020",758
"52","10014","2021",712
"53","10016","2018",1644
"54","10016","2019",1363
"55","10016","2020",1101
"56","10016","2021",841
"57","10017","2018",260
"58","10017","2019",377
"59","10017","2020",380
"60","10017","2021",147
"61","10018","2018",230
"62","10018","2019",317
"63","10018","2020",180
"64","10018","2021",202
"65","10019","2018",1739
"66","10019","2019",1457
"67","10019","2020",1541
"68","10019","2021",877
"69","10020","2019",1
"70","10020","2020",6
"71","10021","2018",961
"72","10021","2019",762
"73","10021","2020",468
"74","10021","2021",375
"75","10022","2018",1023
"76","10022","2019",1056
"77","10022","2020",494
"78","10022","2021",450
"79","10023","2018",1187
"80","10023","2019",1195
"81","10023","2020",767
"82","10023","2021",630
"83","10024","2018",2062
"84","10024","2019",1822
"85","10024","2020",1268
"86","10024","2021",1115
"87","10025","2018",4499
"88","10025","2019",4396
"89","10025","2020",3300
"90","10025","2021",2643
"91","10026","2018",2514
"92","10026","2019",2959
